"Année";"Mois";"Canton";"Royaume-Uni Arrivées";"Inde Arrivées";"Japon Arrivées";"Arabie saoudite Arrivées"
"2018";"Janvier";"Zürich";11434;2534;1975;500
"2018";"Janvier";"Bern / Berne";5316;476;1172;383
"2018";"Janvier";"Luzern";1127;384;213;47
"2018";"Janvier";"Uri";360;6;7;10
"2018";"Janvier";"Schwyz";144;4;17;3
"2018";"Janvier";"Obwalden";579;71;15;7
"2018";"Janvier";"Nidwalden";166;38;5;10
"2018";"Janvier";"Glarus";7;0;0;0
"2018";"Janvier";"Zug";594;52;23;5
"2018";"Janvier";"Fribourg / Freiburg";193;13;18;0
"2018";"Janvier";"Solothurn";303;14;20;4
"2018";"Janvier";"Basel-Stadt";2908;242;275;74
"2018";"Janvier";"Basel-Landschaft";180;26;16;2
"2018";"Janvier";"Schaffhausen";89;8;8;2
"2018";"Janvier";"Appenzell Ausserrhoden";19;3;1;0
"2018";"Janvier";"Appenzell Innerrhoden";8;0;2;0
"2018";"Janvier";"St. Gallen";477;52;59;12
"2018";"Janvier";"Graubünden / Grigioni / Grischun";4395;415;339;212
"2018";"Janvier";"Aargau";339;39;45;5
"2018";"Janvier";"Thurgau";75;12;7;2
"2018";"Janvier";"Ticino";473;87;48;146
"2018";"Janvier";"Vaud";3111;244;265;205
"2018";"Janvier";"Valais / Wallis";6695;108;522;152
"2018";"Janvier";"Neuchâtel";175;16;35;2
"2018";"Janvier";"Genève";10286;627;1183;1527
"2018";"Janvier";"Jura";15;3;1;0
"2018";"Février";"Zürich";12353;2792;2640;243
"2018";"Février";"Bern / Berne";7399;681;1779;257
"2018";"Février";"Luzern";1203;660;276;25
"2018";"Février";"Uri";495;3;1;0
"2018";"Février";"Schwyz";176;6;7;7
"2018";"Février";"Obwalden";737;381;47;0
"2018";"Février";"Nidwalden";322;15;1;2
"2018";"Février";"Glarus";21;0;0;2
"2018";"Février";"Zug";561;69;28;4
"2018";"Février";"Fribourg / Freiburg";184;8;70;0
"2018";"Février";"Solothurn";201;10;30;5
"2018";"Février";"Basel-Stadt";4312;333;283;65
"2018";"Février";"Basel-Landschaft";219;32;7;1
"2018";"Février";"Schaffhausen";157;9;11;2
"2018";"Février";"Appenzell Ausserrhoden";17;7;3;0
"2018";"Février";"Appenzell Innerrhoden";4;0;1;0
"2018";"Février";"St. Gallen";453;61;39;6
"2018";"Février";"Graubünden / Grigioni / Grischun";7009;163;267;51
"2018";"Février";"Aargau";305;35;45;3
"2018";"Février";"Thurgau";88;1;4;1
"2018";"Février";"Ticino";478;82;45;37
"2018";"Février";"Vaud";3850;240;368;142
"2018";"Février";"Valais / Wallis";9310;140;592;190
"2018";"Février";"Neuchâtel";190;14;58;0
"2018";"Février";"Genève";11676;606;833;1007
"2018";"Février";"Jura";14;3;8;0
"2018";"Mars";"Zürich";14259;4977;2967;430
"2018";"Mars";"Bern / Berne";6536;1856;1891;573
"2018";"Mars";"Luzern";1658;1973;416;152
"2018";"Mars";"Uri";374;28;6;0
"2018";"Mars";"Schwyz";136;10;9;0
"2018";"Mars";"Obwalden";925;987;123;2
"2018";"Mars";"Nidwalden";356;30;9;8
"2018";"Mars";"Glarus";2;0;4;1
"2018";"Mars";"Zug";609;281;19;4
"2018";"Mars";"Fribourg / Freiburg";273;10;29;2
"2018";"Mars";"Solothurn";239;169;98;1
"2018";"Mars";"Basel-Stadt";3659;355;477;110
"2018";"Mars";"Basel-Landschaft";282;48;61;9
"2018";"Mars";"Schaffhausen";122;22;6;0
"2018";"Mars";"Appenzell Ausserrhoden";9;5;2;0
"2018";"Mars";"Appenzell Innerrhoden";6;2;2;0
"2018";"Mars";"St. Gallen";521;62;90;48
"2018";"Mars";"Graubünden / Grigioni / Grischun";5850;214;305;71
"2018";"Mars";"Aargau";402;137;56;12
"2018";"Mars";"Thurgau";110;10;13;0
"2018";"Mars";"Ticino";893;162;209;144
"2018";"Mars";"Vaud";4678;928;581;260
"2018";"Mars";"Valais / Wallis";8942;430;608;113
"2018";"Mars";"Neuchâtel";209;37;78;17
"2018";"Mars";"Genève";17240;972;1485;1556
"2018";"Mars";"Jura";32;1;11;0
"2018";"Avril";"Zürich";13777;7954;2534;779
"2018";"Avril";"Bern / Berne";4133;3553;1686;1602
"2018";"Avril";"Luzern";2280;2834;380;269
"2018";"Avril";"Uri";105;5;4;0
"2018";"Avril";"Schwyz";344;623;14;6
"2018";"Avril";"Obwalden";505;3692;176;6
"2018";"Avril";"Nidwalden";437;125;11;38
"2018";"Avril";"Glarus";10;0;0;6
"2018";"Avril";"Zug";554;651;35;14
"2018";"Avril";"Fribourg / Freiburg";308;71;66;12
"2018";"Avril";"Solothurn";327;369;24;0
"2018";"Avril";"Basel-Stadt";3576;547;402;66
"2018";"Avril";"Basel-Landschaft";225;29;7;2
"2018";"Avril";"Schaffhausen";194;24;11;11
"2018";"Avril";"Appenzell Ausserrhoden";20;13;4;0
"2018";"Avril";"Appenzell Innerrhoden";6;2;14;0
"2018";"Avril";"St. Gallen";419;71;57;32
"2018";"Avril";"Graubünden / Grigioni / Grischun";1594;222;259;54
